sender_wallet,receiver_wallet,token,amount,timestamp,gas_used,tx_fee_usd
0xaed548b0ad2ad42d36a65fc9fbb7365290273735,0x6f0fa65da6805b547779f78d7ad8e2a1247cd860,UNI,234.63,2024-07-27 03:58:20,78134,3.71
0xadebdbe4ffde843c5c0942476dafed98f4081ed2,0xfab70b3d71fab174410d390a80a1377c72a41251,USDC,1505.06,2024-07-14 03:04:09,41491,9.32
0xe380d92bab460b09297a542e4b0198e2c87e43c6,0x322edf020491e29d79318e73fb976d1c4bf159e2,WBTC,658.37,2024-07-29 07:29:38,22341,2.63
0x262afa887ea89b1b66c12e70d25de9412bdf3ddb,0x8ce7e3767410f34c6db80d9bd87bb5503ae1a0e3,UNI,456.47,2024-07-20 06:26:24,65623,4.04
0x4d87bd4dc83166db001549b0f7dd10ed8172a979,0xaf6bb63813b74b9c62a370447287eb805b11c3ca,WBTC,84.81,2024-07-13 23:07:51,21338,4.6
0x87c1d0a09e6109925ce9325a327c9bc34db8d330,0x812a55fc9a315355c9aabb67bf2064341e933778,WBTC,84.8,2024-07-18 00:08:08,92431,4.67
0x328d5d04ef6b199bde888fc75394a7e49cbb2e35,0xcf3aa76de3cc816afe40c355e5e6b2ab4f0eb97b,UNI,29.92,2024-07-28 15:17:07,33254,6.32
0xd4e187b0ea64e520ab88273cce8678ddb6803c87,0x36ff9c81a63d187c9deec5361309cadda0e565a8,ETH,1005.62,2024-07-24 15:58:16,72860,9.46
0x968a5f8676e6b77d71e6dadf79e40929b9c9eb05,0x6c8a722c525375a064f21daafc4068499fabdc95,ETH,459.54,2024-07-09 12:06:25,32344,2.79
0xf3203e5a82554fb4ff75ee00ec09483e2ae03411,0x9deb8e91f0524d1d132aa69f2235bcc6d436f5fd,UNI,615.63,2024-07-04 15:19:39,22750,1.65
0xd186cb24f764ddad17b04d51d4a66b0c92ad7164,0x4606fcf09c28de0ee9340dab49a536d3fa07d53b,UNI,10.4,2024-07-16 06:51:37,75756,2.38
0x939835272851ed4624ebeef2cd55b020d0835760,0xc390ec256ba0da0f968fa33bdc2347498620ab8a,USDC,1751.78,2024-07-21 11:57:07,88957,8.93
0xaf6790523dd0af40c1c3a03a4c1a0df6067eba29,0xb3c95a60a494e6e6167c7511076d95b8ae2ed693,USDC,893.21,2024-07-15 07:00:16,79053,6.64
0xf46469dacc43d56c35b79bae4905b54b673b96f0,0x1905ebb6a6711355db9f5eaa4bb216e571f2bbf6,ETH,119.34,2024-07-01 10:45:40,91855,3.22
0xf2f77b9475059e62105e77b8d130a7cd6f85ea9b,0xad7bf7c023afba9714cfd7cd4b49c74277eb8e3b,UNI,100.34,2024-07-20 13:04:42,36896,8.25
